                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2281,                 2.6281,                 1.5225,                0.44256,                0.57055,                0.49616,                0.33252,                 1.1286,                 2.4603,                 1.4923,             0.00046717,             0.00046717,             0.00046717
                      1,                 1.2135,                 2.1214,                 1.5198,                0.38473,                0.63813,                0.47567,                0.31144,                 1.0603,                 2.3257,                 1.5061,             0.00094164,             0.00094164,             0.00094164
                      2,                 1.2541,                 1.9977,                 1.5081,                 0.5344,                0.61906,                0.56067,                0.28133,                 1.4152,                   4.59,                 1.8902,              0.0014142,              0.0014142,              0.0014142
                      3,                 1.2651,                  1.899,                 1.4967,                0.42905,                0.62715,                0.56575,                0.36901,                 1.2435,                 2.8043,                 1.6916,              0.0014205,              0.0014205,              0.0014205
                      4,                 1.3285,                 1.9376,                 1.5609,                0.47472,                0.67201,                0.62306,                0.40733,                 1.3476,                 2.1379,                 1.8585,              0.0014205,              0.0014205,              0.0014205
                      5,                 1.2431,                 1.8283,                 1.5287,                0.60545,                0.53242,                0.59412,                 0.3414,                 1.5772,                 2.4449,                 1.9823,              0.0014177,              0.0014177,              0.0014177
                      6,                 1.2645,                 1.7278,                 1.4985,                0.58756,                0.56403,                0.60022,                 0.3668,                  1.426,                 2.3027,                 1.8411,              0.0014149,              0.0014149,              0.0014149
                      7,                 1.2538,                 1.7411,                 1.5143,                 0.5832,                0.67853,                0.66719,                0.46551,                 1.2212,                 2.0845,                 1.6378,               0.001412,               0.001412,               0.001412
                      8,                 1.1973,                 1.6721,                 1.4667,                0.64943,                0.63373,                0.68358,                0.46498,                 1.1419,                 2.3705,                 1.5582,              0.0014092,              0.0014092,              0.0014092
                      9,                 1.1871,                 1.6212,                 1.4686,                0.68467,                0.69314,                0.72874,                0.45751,                 1.2259,                 1.8341,                 1.6606,              0.0014064,              0.0014064,              0.0014064
